,Supplier,Recipient,No,Weapon,Description,Year,Year(s),Delivered,Comments
16442,United Kingdom,     Barbados,1,Kebir,Patrol craft,1980,1981,1,Barbados designation Trident
16443,United Kingdom,     Belgium,2,Dove,Light transport ac,1948,1950,2,
16466,United Kingdom,     Belize,2,BN-2 Islander,Light transport ac,1982,1984,2,Second-hand; BN-2B-21 Defender armed version
16469,United Kingdom,     Bolivia,1,Star-NG,Air search radar,2016,2019,1,Star-2000 version
16470,United Kingdom,     Botswana,3,BN-2 Islander,Light transport ac,1977,1977-1978,3,Armed BN-2 Defender version
16483,United Kingdom,     Brazil,70,Meteor,Fighter aircraft,1952,1953-1954,70,Paid with 15000 ton cotton; Meteor F-8 version; incl 10 Meteor T-7 trainer version
16521,United Kingdom,     Brunei,3,S-55 Whirlwind-10,Helicopter,1964,1965,3,Operated by civilian company; Whirlwind HAR-10 version
16533,United Kingdom,     Burkina Faso,30,Ferret,APV,1970,1971,30,Supplier uncertain; probably Second-hand
16536,United Kingdom,     Burundi,7,Shorland,APV,1982,1982,7,
16537,United Kingdom,     Cameroon,8,Ferret,APV,1961,1963,8,Probably Second-hand
16541,United Kingdom,     Canada,14,AS-Mk-10 Limbo,ASW mortar,1950,1955-1957,14,For 7 St. Laurent frigates produced in Canada
16578,United Kingdom,     Central African Republic,10,Ferret,APV,1972,1973,10,Second-hand
16580,United Kingdom,     Chile,5,Vampire T-55,Trainer aircraft,1953,1954,5,
16620,United Kingdom,     China,1,Watchman,Air search radar,1986,1987,1,
16623,United Kingdom,     Colombia,10,Hussar,APC,1987,1988-1989,10,For police
16625,United Kingdom,     Congo,28,AT-105 Saxon,APC,2015,2015,28,Second-hand; delivered via France as aid
16626,United Kingdom,     Cote d'Ivoire,2,Strikemaster,Trainer/combat ac,2003,2003,2,Ex-Botswanan; sold illegally by British collector  via Malta to Cote d'Ivoire; Strikemaster-83 or Strikemaster-87 version
16628,United Kingdom,     Cuba,15,Comet,Tank,1958,1958,15,Second-hand; bought after USA imposed arms embargo; for use against rebels
16631,United Kingdom,     Cyprus,1,BN-2 Maritime,MP aircraft,1982,1982,1,BN-2 Maritime Defender version
16633,United Kingdom,     Czechia,36,Condor CV-12,Diesel engine,2002,2003-2006,36,For modernization of 30 T-72M1 to T-72CZ-M4
16634,United Kingdom,     Denmark,27,DHC-1 Chipmunk,Trainer aircraft,1948,1950,10,Chipmunk T-20 version
16659,United Kingdom,     DR Congo,1,DC-4/C-54,Transport aircraft,1962,1962,1,Second-hand
16664,United Kingdom,     Ecuador,6,Canberra B-2,Bomber aircraft,1954,1955,6,Canberra B-6 version
16679,United Kingdom,     Egypt,20,Spitfire,Fighter aircraft,1948,1950,20,Second-hand but modernized before delivery; Spitfire F-22 version
16699,United Kingdom,     Eritrea,6,Viper,Turbojet,1996,1997,6,For 6 MB-339CE trainer aircraft from Italy; Viper-680 version; probably from Italian production line
16700,United Kingdom,     Estonia,7,Mamba,APC,2004,2004,7,Second-hand; EEK6.5 m ($0.5 m) deal; incl for use with Estonian forces in Afghanistan
16702,United Kingdom,     Ethiopia,1,Dove,Light transport ac,1965,1966,1,
16704,United Kingdom,     Finland,6,Vampire FB-5,Fighter aircraft,1951,1952,6,
16722,United Kingdom,     France,2,Meteor,Fighter aircraft,1950,1951,2,Meteor T-7 trainer version
16740,United Kingdom,     Gambia,1,Skyvan,Light transport ac,1980,1981,1,
16741,United Kingdom,     Germany,2,DH-114 Heron,Light transport ac,1956,1957,2,For VIP transport
16770,United Kingdom,     Ghana,4,DHC-1 Chipmunk,Trainer aircraft,1959,1960,4,Second-hand; aid
16793,United Kingdom,     Greece,104,F-86F Sabre,Fighter aircraft,1953,1954-1955,104,Second-hand; aid; CL-13 Sabre Mk-2 and Sabre Mk-4 versions
16803,United Kingdom,     Guyana,4,Shorland,APV,1970,1971,4,
16810,United Kingdom,     Haiti,1,BN-2 Islander,Light transport ac,1983,1983,1,
16811,United Kingdom,     Honduras,3,Scimitar,Light tank,1978,1981,3,
16814,United Kingdom,     India,3,EWP,Destroyer,1948,1950,3,Second-hand; R version; Indian designation Rana
16888,United Kingdom,     Indonesia,8,Vampire T-55,Trainer aircraft,1954,1956,8,
16924,United Kingdom,     Iran,2,S-55,Helicopter,1958,1959,2,Whirlwind HAR-3 version
16952,United Kingdom,     Iraq,21,DHC-1 Chipmunk,Trainer aircraft,1951,1952,21,
16976,United Kingdom,     Ireland,2,Dove,Light transport ac,1949,1950,2,
16990,United Kingdom,     Israel,25,Cromwell,Tank,1949,1950-1951,25,Second-hand
17016,United Kingdom,     Italy,5,Nene,Turbojet,1951,1954,5,For 5 G-82 trainer aircraft produced in Italy
17033,United Kingdom,     Jamaica,15,Ferret,APV,1962,1962,15,Probably second-hand; Ferret Mk-4 version
17036,United Kingdom,     Japan,3,S-51/H-5F,Light helicopter,1952,1953,3,
17043,United Kingdom,     Jordan,3,Auster AOP,Light aircraft,1949,1950,3,Second-hand
17101,United Kingdom,     Kenya,20,Ferret,APV,1962,1964,20,
17126,United Kingdom,     Kuwait,3,Autocrat,Light aircraft,1953,1953,3,Second-hand
17162,United Kingdom,     Latvia,20,Scimitar,Light tank,2015,2015-2019,17,Second-hand; part of GBP39 m deal; delivery planned 2015-2020
17164,United Kingdom,     Lebanon,16,T-6 Texan,Trainer aircraft,1951,1952,16,Second-hand; Harvard-2B version
17176,United Kingdom,     Lesotho,2,Skyvan,Light transport ac,1978,1979,2,
17177,United Kingdom,     Libya,6,Centurion-3,Tank,1955,1957,6,Probably Second-hand
17196,United Kingdom,     Lithuania,2,Hunt,MCM ship,2008,2013,2,Second-hand but modernized before delivery; probably EUR55 m deal
17197,United Kingdom,     Madagascar,10,Ferret,APV,1968,1968,10,
17199,United Kingdom,     Malawi,4,DC-3/C-47 Skytrain,Transport aircraft,1964,1964,4,Second-hand
17208,United Kingdom,     Malaysia,4,Ham,Minesweeper,1957,1958-1959,4,Second-hand (but maximum only few years old); aid
17259,United Kingdom,     Malta,1,BN-2 Islander,Light transport ac,1998,1998,1,Second-hand but modernized before delivery
17262,United Kingdom,     Mauritania,2,Skyvan,Light transport ac,1974,1975,2,
17268,United Kingdom,     Mauritius,4,Shorland,APV,1970,1971,4,
17271,United Kingdom,     Mexico,15,Humber Mk-4,Armoured car,1960,1961,15,Second-hand
17275,United Kingdom,     Morocco,30,L-118 105mm,Towed gun,1976,1977,30,No. delivered could be 36
17277,United Kingdom,     Mozambique,25,AT-105 Saxon,APC,2013,2013,25,Second-hand
17279,United Kingdom,     Myanmar,5,Consul,Light transport ac,1949,1950,5,
17298,United Kingdom,     NATO**,14,S-244,Height-finding radar,1955,1957-1961,14,For use with S-247 air search radar; part of 'NADGE' air defence network
17302,United Kingdom,     Nepal,3,Twin Pioneer,Light transport ac,1964,1965,3,Second-hand; incl for VIP transport with Royal Flight; aid
17311,United Kingdom,     Netherlands,2,AMES Type-13,Height-finding radar,1948,1950,2,
17339,United Kingdom,     New Zealand,6,Auster AOP,Light aircraft,1949,1950,6,J/5 (Autrcrat) version
17389,United Kingdom,     Nigeria,1,LCT-4,Landing craft,1959,1959,1,Second-hand
17426,United Kingdom,     North Yemen,2,Skyvan,Light transport ac,1974,1974,2,
17427,United Kingdom,     Norway,36,Vampire FB-5,Fighter aircraft,1949,1950-1951,36,Vampire FB-52 version
17444,United Kingdom,     Oman,4,Pioneer,Light aircraft,1958,1959-1960,4,Possibly second-hand
17505,United Kingdom,     Pakistan,75,Bristol-170 Freighter,Transport aircraft,1949,1950-1955,75,Incl Mk-21P and Mk-31N1 versions
17543,United Kingdom,     Panama,2,Vosper-103,Patrol craft,1969,1970,2,
17546,United Kingdom,     Papua New Guinea,5,Shorland,APV,1993,1994,5,Shorland S-55 version
17547,United Kingdom,     Paraguay,10,Viper,Turbojet,1978,1978-1981,10,For 10 MB-326 (EMB-326 Xavante or AT-26) trainer/combat aircraft from Brazil; possibly from Italian production line
17548,United Kingdom,     Peru,2,Maranon,Patrol craft,1950,1951,2,
17569,United Kingdom,     Philippines,41,Scorpion,Light tank,1976,1977,41,
17574,United Kingdom,     Poland,2,AS-90M turret,SPG turret,1999,2013,2,For 2 Krab self-propelled guns produced in Poland
17576,United Kingdom,     Portugal,2,Vampire T-55,Trainer aircraft,1951,1951,2,
17590,United Kingdom,     Qatar,10,Ferret,APV,1966,1968,10,
17610,United Kingdom,     Romania,2,Boxer/Type-22,Frigate,2003,2004-2005,2,Second-hand but modernized before delivery; GBP116 m ($187 m) deal (offsets 80-90%); Romanian designation Regele Ferdinand
17612,United Kingdom,     Rwanda,1,BN-2 Islander,Light transport ac,1974,1975,1,Possibly from Romanian production line
17615,United Kingdom,     Saudi Arabia,2,Anson,Trainer aircraft,1949,1950,2,Second-hand
17666,United Kingdom,     Seychelles,8,Shorland,APV,1977,1977,8,
17668,United Kingdom,     Sierra Leone,4,Saladin,Armoured car,1982,1983,4,Probably Second-hand
17669,United Kingdom,     Singapore,15,Ferret,APV,1965,1965,15,Probably Second-hand
17692,United Kingdom,     Somalia,15,Ferret,APV,1960,1961,15,
17694,United Kingdom,     South Africa,2,EWP,Destroyer,1950,1950-1952,2,Second-hand; South African designation Van Riebeeck
17732,United Kingdom,     South Korea,25,ST-1802,Fire control radar,1983,1985-1997,25,"For 4 Ulsan frigates, 20 Po Hang corvettes and 1 Won San minelayer produced in South Korea"
17745,United Kingdom,     South Yemen,6,Bell-47/OH-13,Light helicopter,1965,1967,6,Aid; Bell-47G-3B version
17750,United Kingdom,     Spain,4,S-55,Helicopter,1958,1959,4,Whirlwind HAR-5 version
17767,United Kingdom,     Sri Lanka,2,Oxford,Trainer aircraft,1950,1950,2,Second-hand
17788,United Kingdom,     Sudan,4,Provost,Trainer aircraft,1956,1957,4,Provost T-53 armed version
17799,United Kingdom,     Suriname,4,BN-2 Islander,Light transport ac,1981,1982,4,Armed BN-2B Defender version; incl for combat role and MP
17800,United Kingdom,     Sweden,150,Vampire FB-5,Fighter aircraft,1948,1950-1952,150,Vampire FB-50 version; Swedish designation J-28B; more delivered before 1950
17822,United Kingdom,     Switzerland,3,Vampire T-3,Trainer aircraft,1952,1953-1954,3,Vampire T-11 version
17841,United Kingdom,     Syria,30,Merlin,Aircraft engine,1949,1950,30,For 30 G-59 combat aircraft from Italy
17850,United Kingdom,     Taiwan,250,TV-8-640,Diesel engine,1980,1981-1995,250,For some 250 AIFV (CM-21 and CM-25) APC produced in Taiwan; possibly assembled/produced in Taiwan
17851,United Kingdom,     Tanzania,3,HS-748,Transport aircraft,1976,1977-1978,3,
17855,United Kingdom,     Thailand,48,DHC-1 Chipmunk,Trainer aircraft,1950,1951-1954,48,
17884,United Kingdom,     Togo,6,Viper,Turbojet,1976,1976-1977,6,For 6 MB-326GB (EMB-326 Xavante) trainer aircraft from Brazil; probably from Italian production line
17887,United Kingdom,     Trinidad and Tobago,2,Vosper-103,Patrol craft,1963,1965,2,For coast guard; Trinidad & Tobago designation Plymouth
17890,United Kingdom,     Tunisia,20,Saladin,Armoured car,1965,1965,20,
17895,United Kingdom,     Turkey,147,Sapphire,Turbojet,1955,1957-1958,147,J-65 version for 108 F-84F combat aircraft and 39 RF-84F reconnaissance aircraft from the USA
17915,United Kingdom,     UAE,4,BN-2 Islander,Light transport ac,1967,1968-1972,4,For Abu Dhabi
17954,United Kingdom,     Uganda,15,Ferret,APV,1963,1965,15,Probably second-hand
17957,United Kingdom,     Ukraine,75,AT-105 Saxon,APC,2014,2015,75,Second-hand; GBP3.8 m deal
17958,United Kingdom,     United States,3,Edenton,Salvage ship,1966,1971-1972,3,
17991,United Kingdom,     Unknown recipient(s),5,Green Ginger,Air search radar,1962,1963-1965,5,
17992,United Kingdom,     Uruguay,1,Castle,Corvette,1955,1956,1,Second-hand
17999,United Kingdom,     Venezuela,2,Nueva Esparta,Destroyer,1950,1953-1954,2,GBP5 m deal
18021,United Kingdom,     Yugoslavia,1,Sealand,Light transport ac,1950,1951,1,
18030,United Kingdom,     Zambia,4,DC-3/C-47 Skytrain,Transport aircraft,1964,1964,4,Second-hand; taken over on independence
18041,United Kingdom,     Zimbabwe,11,Spitfire,Fighter aircraft,1950,1951,11,Second-hand; Spitfire F-22 version
18060,United Nations**, DR Congo,4,M/42 SKPF,APC,1964,1964,4,Ex-UN peacekeeping force; handed over to Zaire upon departure of UN forces
18063,United States, Afghanistan,26,Cessna-208 Caravan,Light transport ac,2011,2011-2012,26,Part of $88 m deal; probably aid; Cessna-208B version
18064,United States,     Angola,1,Citation-1,Light transport ac,2015,2017,1,Second-hand; modified before delivery to MP aircraft in Israel
18065,United States,     Chile,6,S-70/UH-60L,Helicopter,2016,2018,6,$180 m deal; S-70i or MH-60M version; from Polish production line
18066,United States,     Denmark,2,M-32,ARV,1952,1953,2,Second-hand; probably aid
18068,United States,     Greece,317,M-101A1 105mm,Towed gun,1949,1950-1957,317,Second-hand; probably aid
18073,United States,     India,4,LM-2500,Gas turbine,2003,,,For 1 Vikrant (IAC or Project-71) aircraft carrier produced in India; from Italian production line
18075,United States,     Laos,25,M-101A1 105mm,Towed gun,1962,1963,25,Probably second-hand
18076,United States,     Montenegro,3,Bell-412,Helicopter,2018,2018,3,$37 m deal; from Canadian production line; incl 1 Bell-412EP and 2 Bell-412EPi version; incl for civilian use
18077,United States,     Morocco,1,PC-1604,Patrol craft,1963,1964,1,Probably aid; from French production line
18078,United States,     Norway,115,F-86F Sabre,Fighter aircraft,1955,1957-1961,115,Second-hand; probably aid
18079,United States,     Pakistan,25,M-36 Jackson,Tank,1956,1958,25,Second-hand
18080,United States,     Philippines,4,OV-10 Bronco,Ground attack ac,2018,,,Second-hand; 2 OV-10A and 2 OV-10G+ version; probably aid; delivery planned 2019
18081,United States,     Portugal,3,HU-16B Albatross,MP/transport ac,1956,1957,3,Second-hand; for SAR
18083,United States,     South Africa,34,F-86F Sabre,Fighter aircraft,1954,1956,34,CL-13B Sabre Mk-6 version; from Canadian production line
18084,United States,     South Korea,25,M-18 Hellcat,Tank,1955,1955,25,Second-hand; probably aid
18085,United States,     Ukraine,210,FGM-148 Javelin,Anti-tank missile,2018,2018,210,Probably second-hand
18086,United States,     Uruguay,2,T-33A Shooting Star,Trainer aircraft,1969,1969,2,Second-hand (2 more delivered for spare parts)
18087,United States,     Yugoslavia,75,F-86F Sabre,Fighter aircraft,1959,1959,75,Second-hand CL-13 Sabre Mk-4 (F-86E(M)) returned by UK to USA and transferred to Yugoslavia; probably aid
18088,United States,     Argentina,40,Cessna-180 Skywagon,Light aircraft,1968,1969-1972,40,Assembled from kits or produced in Argentina; Cessna-182 version
18089,United States,     Australia,111,F-86F Sabre,Fighter aircraft,1951,1956-1961,111,"Version modified in Australia with UK engine; Australian designation CA-27 Sabre; incl 21 Mk-31, 21 Mk-31 and 69 Mk-32 version"
18102,United States,     Belgium,26,Adjutant,Minesweeper,1952,1953-1956,26,'MAP' aid; incl 8 produced in Belgium
18111,United States,     Brazil,6,Cape,Patrol craft,1968,1970-1971,6,Brazilian designation Piratini; aid
18116,United States,     Canada,384,T-33A T-Bird,Trainer aircraft,1947,1950-1953,384,Canadian designation CT-33 Silver Star
18137,United States,     Chile,1,Orompello,Landing craft,1966,1968,1,
18141,United States,     Denmark,200,AIM-9B Sidewinder,SRAAM,1961,1963-1964,200,For  F-104 combat aircraft; part of European production line involving production of components in several NATO countries incl Denmark and final assembly in FRG
18149,United States,     Egypt,76,M-109/SP-122 122mm,Self-propelled gun,1988,1993-1995,76,$96 m deal; designed for Egypt with Egyptian gun
18162,United States,     Finland,64,F/A-18C Hornet,FGA aircraft,1992,1995-2000,64,$3 b deal (offsets 100% incl assembly/production of 57 in Finland); incl 7 F/A-18D; Finnish designation F-18C/D
18164,United States,     France,50,S-55,Helicopter,1952,1953-1955,50,French designation Elephant Joyeux; produced in France
18174,United States,     Germany,836,F-104G Starfighter,FGA aircraft,1959,1961-1967,836,"Incl 210 assembled/produced in FRG and 50 from Italian, 88 from Belgian and 255 from Dutch production lines; incl 137 TF-104G"
18195,United States,     Greece,1250,AIM-9B Sidewinder,SRAAM,1961,1961-1970,1250,"Probably most from European production line in FRG; incl production of components in Greece; for F-5, F-104 and F-102 combat aircraft"
18198,United States,     India,112,TPE-331,Turboprop,1983,1986-2011,112,For 56 Do-228 MP aircraft from FRG; incl production in India
18206,United States,     Indonesia,30,PL-1B,Trainer aircraft,1974,1976-1981,30,PL-2 version; Indonesian designation LT-200
18207,United States,     Israel,3,IAI-1124N Seascan,MP aircraft,1975,1977,3,Developed from Commodore Jet (IAI-1124 Westwind) in Israel
18215,United States,     Italy,36,Adjutant,Minesweeper,1952,1953-1957,36,'MDAP' and 'MAP' aid; incl 19 produced in Italy; Italian designations Abete and Agave
18268,United States,     Japan,185,Bell-47/OH-13,Light helicopter,1952,1953-1965,185,Incl Bell-47D and Bell-47G version; most assembled/produced in Japan
18355,United States,     Mexico,18,AL-60,Light aircraft,1959,1960,18,LASA-60 version; incl for SAR
18357,United States,     Myanmar,1,LCU-1610,Landing craft,1962,1967,1,'MDAP' aid; Burmese designation Aiyar Lulin
18358,United States,     Netherlands,138,F-104G Starfighter,FGA aircraft,1960,1962-1967,138,Incl 95 produced in FRG and Netherlands and 25 from Italian production line; incl 17 RF-104G reconnaissance and 15 TF-104G version; partly financed by USA
18381,United States,     Nigeria,60,RV-6,Trainer aircraft,1987,1989-1997,60,Assembled from kits in Nigeria; Nigerian designation Air Beetle T-18
18382,United States,     Norway,7,Adjutant,Minesweeper,1953,1953-1955,7,Incl 5 produced in Norway; Norwegian designation Sauda
18392,United States,     Pakistan,4,LAADS,Air search radar,1989,1990,4,
18395,United States,     Peru,1,PGM-71,Patrol craft,1967,1972,1,'MAP Offshore Procurement Programme' aid; Peruvian designation Rio Chira
18397,United States,     Philippines,2,Bell-205/UH-1 Huey-2,Helicopter,1997,2005,2,Philippine UH-1H rebuilt to Huey-2; assembled from kits in Philippines
18398,United States,     Poland,2,PA-34 Seneca,Light transport ac,1994,1995,2,Produced in Poland as M-20 Mewa
18402,United States,     Portugal,8,PC-1604,Patrol craft,1954,1954-1958,8,'MDAP Offshore Procurement Programme' aid; incl 3 from French production line and 5 produced in Portugal; Portugese designation Funchal
18404,United States,     Saudi Arabia,315,M-1A2 Abrams,Tank,1990,1993-1994,315,$1.5 b deal (offsets incl investments in Saudi arms industry and Saudi production of some components)
18405,United States,     South Korea,3,LCT Mk-6,Landing craft,1960,1963-1965,3,
18439,United States,     Spain,5,Baleares,Frigate,1966,1973-1976,5,Designed for Spain
